番号,113,
名前,ヘカーティア・ラピスラズリ,
呼び名,ヘカーティア,
基礎,体力,2300
基礎,気力,2000
基礎,勃起,1500
基礎,精力,10000
基礎,法力,1000
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,仕事量,0
基礎,深度,2000
基礎,酒気,2000
素質,処女,1
素質,性別,1
素質,度胸,1;気丈
素質,プライド,1;プライド高い
素質,性的興味,1;好奇心
素質,陽気／陰気,1;陽気
素質,貞操,-1;貞操無頓着
素質,羞恥心,-1;恥薄い
素質,濡れやすさ,1;濡れやすい
素質,針さばき,1
素質,汚臭耐性,2;汚れ無視
素質,献身的,1
;素質,Ｃ感度,1;Ｃ敏感
;素質,Ｖ感度,1;Ｖ敏感
;素質,Ａ感度,1;Ａ敏感
;素質,Ｂ感度,1;Ｂ敏感
素質,神霊,1
能力,Ｃ感覚,1

能力,清掃技能,1
能力,話術技能,2
能力,戦闘能力,6
能力,教養,4
能力,料理技能,1
能力,音楽技能,0
素質,伐採Lv,0
素質,釣りLv,0
素質,採集Lv,0
素質,調合Lv,1

経験,Ｃ経験,20
経験,自慰経験,20
フラグ,基本服装セット,213;服装
フラグ,地位,1000;地位
フラグ,初期位置,1072;ヘカーティア私室
フラグ,来訪時間,540;9時
フラグ,帰宅時間,1260;21時
フラグ,就寝時間,1440;24時
フラグ,起床時間,360;6時
フラグ,よく行く地域,10
フラグ,自宅位置,1090
フラグ,弾幕特能,1023
フラグ,別顔有,1
相性,111,180;クラウンピース
相性,112,180;純狐
CSTR,10,～地獄の女神～　●種族：神　●能力：三つの身体を持つ程度の能力 
