番号,45,;8-3
名前,朝倉 理香子,
呼び名,理香子,
基礎,体力,1900
基礎,気力,1400
基礎,勃起,1500
基礎,法力,3100
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,仕事量,0
基礎,深度,2000
基礎,酒気,1500
素質,処女,1
素質,性別,1
素質,度胸,1;気丈
素質,プライド,1;プライド高い
素質,自制心,1
素質,性的興味,-1;保守的
素質,一線越えない,1
素質,貞操,
素質,羞恥心,1;恥じらい
素質,痛覚,1;痛みに弱い
素質,習得速度,-1;習得遅い
素質,自慰しやすい,1
素質,中毒しやすい,1
素質,Ｃ感度,1;Ｃ敏感
素質,Ａ感度,-1;Ａ鈍感
素質,妖怪,1
素質,追加種族,2;魔法使い
能力,従順,1
能力,欲望,1
能力,技巧,2

能力,清掃技能,1
能力,話術技能,1
能力,戦闘能力,1
能力,教養,3
能力,料理技能,0
能力,音楽技能,0
素質,伐採Lv,0
素質,釣りLv,0
素質,採集Lv,0
素質,調合Lv,5

経験,自慰経験,80
フラグ,基本服装セット,145;服装
フラグ,地位,200;地位
フラグ,初期位置,99;開始位置;EX
フラグ,来訪時間,1140;19時
フラグ,帰宅時間,180;3時
フラグ,就寝時間,240;4時
フラグ,起床時間,660;11時
フラグ,よく行く地域,-1
フラグ,自宅位置,
フラグ,弾幕特能,160
CSTR,10,～夢を探す科学～
