番号,42,;7-4
名前,姫海棠 はたて,
呼び名,はたて,
基礎,体力,1800
基礎,気力,1400
基礎,勃起,1500
基礎,法力,2000
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,仕事量,0
基礎,深度,2000
基礎,酒気,2300
素質,処女,1
素質,性別,1
素質,プライド,1;プライド高い
素質,性的興味,1;好奇心
素質,陽気／陰気,1;陽気
素質,目立ちたがり,1
素質,羞恥心,1;恥じらい
素質,痛覚,-1;痛みに強い
素質,習得速度,1;習得早い
素質,汚臭耐性,-1;汚臭敏感
素質,謎の魅力,1
素質,小悪魔,1
素質,Ｖ感度,1;Ｖ敏感
素質,Ａ感度,1;Ａ敏感
素質,バストサイズ,-1;貧乳
素質,酒耐性,2;酒豪
素質,妖怪,5;天狗
能力,技巧,1

能力,清掃技能,1
能力,話術技能,2
能力,戦闘能力,3
能力,教養,2
能力,料理技能,1
能力,音楽技能,1
素質,伐採Lv,2
素質,釣りLv,1
素質,採集Lv,0
素質,調合Lv,1

経験,絶頂経験,5
経験,自慰経験,10
経験,撮影経験,2
経験,被写経験,2
フラグ,基本服装セット,142;服装
フラグ,地位,700;地位
フラグ,初期位置,809

フラグ,427,5;山麓来訪率補正
フラグ,429,-5;地底来訪率補正

フラグ,457,732;山麓来訪位置

フラグ,来訪時間,720;12時
フラグ,帰宅時間,1320;22時
フラグ,就寝時間,120;2時
フラグ,起床時間,600;10時
フラグ,よく行く地域,7
フラグ,自宅位置,810;九天の滝
フラグ,弾幕特能,260
相性,29,90;文
相性,65,120;椛
CSTR,10,～今どきの念写記者～　●種族：鴉天狗　●能力：念写をする程度の能力
