番号,98,
名前,綿月 依姫,
呼び名,依姫,
基礎,体力,2200
基礎,気力,1900
基礎,勃起,1500
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,深度,3000
基礎,酒気,2200
素質,性別,1
素質,度胸,1;気丈
素質,態度,1;反抗的
素質,プライド,1;プライド高い
素質,自制心,1
素質,性的興味,-1;保守的
素質,一線越えない,1
素質,貞操,1;貞操観念
素質,抵抗,1
素質,習得速度,1;習得早い
素質,器用な指,1
素質,汚臭耐性,-1;汚臭敏感
素質,Ｃ感度,1;Ｃ敏感
素質,Ｖ感度,1;Ｖ敏感
素質,Ａ感度,1;Ａ敏感
素質,Ｂ感度,1;Ｂ敏感
素質,Ｍ感度,1;Ｍ敏感
素質,酒耐性,1;酒に強い
素質,人間,4;月人
能力,Ｃ感覚,1
能力,Ｖ感覚,1
能力,Ｂ感覚,1
能力,技巧,1
能力,レズっ気,2

能力,清掃技能,3
能力,話術技能,1
能力,戦闘能力,6
能力,教養,4
能力,料理技能,1
能力,音楽技能,0
素質,伐採Lv,0
素質,釣りLv,0
素質,採集Lv,0
素質,調合Lv,0

経験,Ｖ経験,20
経験,絶頂経験,5
経験,精液経験,5
経験,自慰経験,10
経験,レズ経験,30
フラグ,基本服装セット,198;服装
フラグ,地位,1000;地位
フラグ,初期位置,1042;依姫私室
フラグ,来訪時間,600;10時
フラグ,帰宅時間,1320;22時
フラグ,就寝時間,1440;24時
フラグ,起床時間,360;6時
フラグ,よく行く地域,10
フラグ,自宅位置,1060;綿月亭
フラグ,移動節度,1
フラグ,弾幕特能,1023
相性,1,110;霊夢
相性,52,120;鈴仙
相性,53,90;てゐ
相性,62,110;輝夜
相性,72,200;永琳
相性,99,200;豊姫
相性,112,80;純狐
相性,113,80;へカーティア
CSTR,10,～神霊の依り憑く月の姫～　●種族：月人　●能力：神霊の依代となる程度の能力 
