番号,145,
名前,小兎姫,
呼び名,小兎姫,
基礎,体力,1900
基礎,気力,1300
基礎,勃起,1500
基礎,精力,10000
基礎,法力,1000
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,仕事量,0
基礎,深度,2000
基礎,酒気,1200

素質,処女,1
素質,性別,1
素質,性的興味,1;好奇心
素質,態度,-1; 素直
素質,無関心,1;無関心
素質,陽気／陰気,1;陽気 楽観的
素質,快感応答,1;快感に素直
素質,中毒しやすい,1
素質,酒耐性,-2
素質,倒錯的,1;倒錯的
素質,性別嗜好,-1;両刀
素質,Ｃ感度,1;Ｃ敏感
素質,絶倫,1
素質,狂気,1,
素質,バストサイズ,-1
素質,人間,1

能力,清掃技能,1
能力,話術技能,2
能力,戦闘能力,4
能力,教養,2
能力,料理技能,1
能力,音楽技能,0
素質,伐採Lv,0
素質,釣りLv,0
素質,採集Lv,3
素質,調合Lv,0

経験,緊縛経験,5
経験,異常経験,10

能力,欲望,1
能力,レズっ気,2
能力,サドっ気,3

フラグ,基本服装セット,235;服装
フラグ,地位,900;地位
フラグ,初期位置,281
フラグ,起床時間,300;5時
フラグ,来訪時間,360;6時
フラグ,帰宅時間,1080;18時
フラグ,就寝時間,1320;22時
フラグ,よく行く地域,0;hakurei shrine :D
フラグ,自宅位置,210
;フラグ,移動率補正,
フラグ,移動節度,0
フラグ,産休タイプ,2;60日目から休む
フラグ,口調,5
フラグ,弾幕特能,168

;相性,
CSTR,仕事情報,パトロール　毎朝　6時～10時
CSTR,職場,中央広場
CSTR,10,～弾幕に美を夢みる姫～　●種族：人間

相性,1,150;Reimu
相性,67,120 ;Keine
相性,80,120 ;Akyuu
相性,70,120 ;Kosuzu
相性,134,80 ;Miyoi
相性,73,80 ;Banki
相性,9,120 ;Yumemi
相性,45,150 ;Rikako
相性,62,120 ;Kaguya
