番号,112,
名前,純狐,
呼び名,純狐,
基礎,体力,2000
基礎,気力,1900
基礎,勃起,1500
基礎,精力,10000
基礎,法力,1000
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,仕事量,0
基礎,深度,2000
基礎,酒気,2100
素質,性別,1
素質,度胸,1;気丈
素質,応答,-1;大人しい
素質,プライド,1;プライド高い
素質,貞操,1;貞操観念
素質,自己愛,-1;抑圧
素質,抵抗,1
素質,痛覚,-1;痛みに強い
素質,針さばき,1
素質,汚臭耐性,-1;汚臭敏感
素質,献身的,1
素質,性別嗜好,3;人間不信
素質,バストサイズ,1;巨乳
素質,Ｃ感度,1;Ｃ敏感
素質,Ｂ感度,1;Ｂ敏感
素質,酒耐性,1;酒に強い
素質,母性,1
素質,神霊,1
素質,人妻,2;未亡人
能力,Ｃ感覚,1
能力,Ｖ感覚,1
能力,Ｂ感覚,1
能力,技巧,1

能力,清掃技能,3
能力,話術技能,1
能力,戦闘能力,5
能力,教養,3
能力,料理技能,1
能力,音楽技能,2
素質,伐採Lv,0
素質,釣りLv,0
素質,採集Lv,0
素質,調合Lv,1

経験,Ｖ経験,20
経験,Ｍ経験,1
経験,絶頂経験,1
経験,精液経験,5
経験,異常経験,1
経験,出産経験,10
フラグ,基本服装セット,212;服装
フラグ,地位,1000;地位
フラグ,初期位置,1071;純狐私室
フラグ,来訪時間,540;9時
フラグ,帰宅時間,1260;21時
フラグ,就寝時間,1440;24時
フラグ,起床時間,360;6時
フラグ,大家候補,1063
フラグ,住み込み必要信頼度,200
フラグ,よく行く地域,10
フラグ,自宅位置,1090
フラグ,424,7;竹林来訪率補正
フラグ,弾幕特能,849
フラグ,別顔有,1
相性,72,80;永琳
相性,111,180;クラウンピース
相性,113,180;へカーティア
CSTR,10,無名の存在　●種族：神霊　●能力：純化する程度の能力 
