番号,33,;5-3
名前,洩矢 諏訪子,
呼び名,諏訪子,
基礎,体力,2200
基礎,気力,1500
基礎,勃起,1500
基礎,精力,10000
基礎,法力,4000
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,仕事量,0
基礎,深度,2000
基礎,酒気,3000
素質,性別,1
素質,応答,1;生意気
素質,陽気／陰気,1;陽気
素質,痛覚,-1;痛みに強い
素質,濡れやすさ,1;濡れやすい
素質,舌使い,1
素質,快感応答,1;快感に素直
素質,魅惑,1
素質,人気,1
素質,鼓舞,1
素質,Ｖ感度,-1;Ｖ鈍感
素質,Ｂ感度,1;Ｂ敏感
素質,バストサイズ,-1;貧乳
素質,体型,-1;小柄体型
素質,酒耐性,3;うわばみ
素質,回復速度,1;回復早い
素質,水棲,1
素質,神霊,1
能力,Ｃ感覚,1
能力,Ｖ感覚,1
能力,従順,2
能力,レズっ気,2

能力,清掃技能,1
能力,話術技能,1
能力,戦闘能力,5
能力,教養,3
能力,料理技能,1
能力,音楽技能,1
素質,伐採Lv,0
素質,釣りLv,4
素質,採集Lv,3
素質,調合Lv,2

経験,Ｖ経験,25
経験,絶頂経験,10
経験,精液経験,10
経験,レズ経験,100
経験,異常経験,1
フラグ,基本服装セット,133;服装
フラグ,地位,900;地位
フラグ,初期位置,818
フラグ,大家候補,823
フラグ,住み込み必要信頼度,200
フラグ,出現位置,21
フラグ,来訪時間,660;11時
フラグ,帰宅時間,1260;21時
フラグ,就寝時間,1380;23時
フラグ,起床時間,480;8時
フラグ,よく行く地域,8
フラグ,427,2;山麓来訪率補正
フラグ,457,732;山麓来訪位置
フラグ,自宅位置,850;守矢神社本殿
フラグ,弾幕特能,538
フラグ,別顔有,1
相性,14,80;チルノ
相性,31,200;早苗
相性,32,150;神奈子
CSTR,仕事情報,家事手伝い　？？？　11時～13時
CSTR,職場,台所
CSTR,10,～土着神の頂点～　●種族：八百万の神　●能力：坤を創造する程度の能力
