番号,68,
名前,風見 幽香,
呼び名,幽香,
基礎,体力,2200
基礎,気力,2000
基礎,勃起,1500
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,深度,3000
基礎,酒気,2000
素質,性別,1;女
素質,プライド,1;プライド高い
素質,応答,-1;大人しい
素質,痛覚,-1;痛みに強い
素質,濡れやすさ,-1;濡れにくい
素質,性別嗜好,-1;両刀
素質,サド,1
素質,Ｖ感度,1;Ｖ敏感
素質,バストサイズ,1;巨乳
素質,日光浴,1
素質,不思議な根,1
素質,妖怪,1
能力,Ｃ感覚,1
能力,Ｖ感覚,1
能力,欲望,1
能力,サドっ気,5
能力,レズっ気,2

能力,清掃技能,1
能力,話術技能,1
能力,戦闘能力,5
能力,教養,2
能力,料理技能,1
能力,音楽技能,0
素質,伐採Lv,2
素質,釣りLv,0
素質,採集Lv,3
素質,調合Lv,2

経験,Ｖ経験,50
経験,絶頂経験,35
経験,自慰経験,25
経験,レズ経験,75
経験,戦闘経験,30
フラグ,基本服装セット,168;服装
フラグ,地位,1000;地位
フラグ,初期位置,463;開始位置
フラグ,421,2;人里来訪率補正
フラグ,大家候補,460
フラグ,住み込み必要信頼度,100
フラグ,来訪時間,360;6時
フラグ,帰宅時間,1140;19時
フラグ,就寝時間,1320;22時
フラグ,起床時間,300;5時
フラグ,よく行く地域,-1
フラグ,自宅位置,490
フラグ,弾幕特能,449
CSTR,仕事情報,花弄り　4日おき　6時～10時
CSTR,職場,太陽の畑
CSTR,10,～四季のフラワーマスター～　●種族：妖怪　●能力：花を操る程度の能力
フラグ,産休タイプ,2；60日目から休む
