番号,99,
名前,綿月 豊姫,
呼び名,豊姫,
基礎,体力,2000
基礎,気力,1900
基礎,勃起,1500
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,深度,3000
基礎,酒気,2500
素質,性別,1
素質,性的興味,1;好奇心
素質,陽気／陰気,1;陽気
素質,濡れやすさ,1;濡れやすい
素質,習得速度,1;習得早い
素質,舌使い,1
素質,汚臭耐性,-1;汚臭敏感
素質,Ｖ感度,1;Ｖ敏感
素質,Ｂ感度,1;Ｂ敏感
素質,バストサイズ,1;巨乳
素質,酒耐性,2;酒豪
素質,人間,4;月人
能力,Ｃ感覚,1
能力,Ｖ感覚,1
能力,Ｂ感覚,1
能力,技巧,1
能力,レズっ気,2

能力,清掃技能,2
能力,話術技能,3
能力,戦闘能力,5
能力,教養,5
能力,料理技能,2
能力,音楽技能,2
素質,伐採Lv,0
素質,釣りLv,0
素質,採集Lv,0
素質,調合Lv,2

経験,Ｖ経験,20
経験,絶頂経験,5
経験,精液経験,5
経験,自慰経験,10
経験,レズ経験,30
フラグ,基本服装セット,199;服装
フラグ,地位,1000;地位
フラグ,初期位置,1041;豊姫私室
フラグ,来訪時間,600;10時
フラグ,帰宅時間,1320;22時
フラグ,就寝時間,1440;24時
フラグ,起床時間,360;6時
フラグ,大家候補,1033
フラグ,住み込み必要信頼度,200
フラグ,よく行く地域,10
フラグ,自宅位置,1060
フラグ,移動節度,1
フラグ,弾幕特能,1023
相性,52,120;鈴仙
相性,62,110;輝夜
相性,72,200;永琳
相性,98,200;依姫
相性,112,80;純狐
相性,113,80;へカーティア
CSTR,10,～海と山を繋ぐ月の姫～　●種族：月人　●能力：海と山を繋ぐ程度の能力 
