番号,20,;2-2
名前,リリカ プリズムリバー,
呼び名,リリカ,
基礎,体力,2000
基礎,気力,1200
基礎,勃起,1500
基礎,精力,10000
基礎,法力,2100
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,仕事量,0
基礎,深度,2000
基礎,酒気,1500
素質,処女,1
素質,性別,1
素質,応答,1;生意気
素質,性的興味,1;好奇心
素質,目立ちたがり,1
素質,習得速度,1;習得早い
素質,小悪魔,1
素質,体型,-1;小柄体型
素質,Ｃ感度,1;Ｃ敏感
素質,バストサイズ,-1;貧乳
素質,音楽知識,1;楽器知識
素質,音感,2;絶対音感
素質,幽霊,2;騒霊
能力,技巧,2

能力,清掃技能,0
能力,話術技能,0
能力,戦闘能力,3
能力,教養,1
能力,料理技能,0
能力,音楽技能,5
素質,伐採Lv,0
素質,釣りLv,0
素質,採集Lv,0
素質,調合Lv,0

経験,レズ経験,50
フラグ,基本服装セット,120;服装
フラグ,地位,400;地位
フラグ,初期位置,342;開始位置;EX
フラグ,来訪時間,570;9.5時
フラグ,帰宅時間,1140;19時
フラグ,就寝時間,1380;23時
フラグ,起床時間,540;9時
フラグ,よく行く地域,6
フラグ,自宅位置,330;廃洋館
フラグ,弾幕特能,130
相性,21,150;メルラン
相性,22,150;ルナサ
;相性,200;レイラ
CSTR,仕事情報,コンサート　月に一度、日曜日　13時～19時
CSTR,職場,里の広場
CSTR,10,～騒霊キーボーディスト～　●種族：騒霊　●能力：手足を使わずに楽器を演奏する程度の能力
フラグ,産休タイプ,1；40日目から休む
