番号,94,
名前,九十九 弁々,
呼び名,弁々,
基礎,体力,2100
基礎,気力,1500
基礎,勃起,1500
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,深度,3000
基礎,酒気,1700
素質,処女,1;処女
素質,性別,1;女
素質,度胸,1;気丈
素質,プライド,1;プライド高い
素質,目立ちたがり,1
素質,習得速度,1;習得早い
素質,魅惑,1
素質,Ｂ感度,1;Ｂ敏感
素質,バストサイズ,1;巨乳
素質,鼓舞,1
素質,人気,1
素質,音楽知識,1;楽器知識
素質,音感,2;絶対音感
素質,付喪神,1

能力,清掃技能,1
能力,話術技能,1
能力,戦闘能力,1
能力,教養,1
能力,料理技能,0
能力,音楽技能,4
素質,伐採Lv,0
素質,釣りLv,0
素質,採集Lv,0
素質,調合Lv,0

経験,演奏経験,30
経験,歌唱経験,30
フラグ,基本服装セット,194;服装
フラグ,地位,500;地位
フラグ,初期位置,210;開始位置
フラグ,来訪時間,900;15時
フラグ,帰宅時間,1380;23時
フラグ,就寝時間,180;3時
フラグ,起床時間,720;12時
フラグ,よく行く地域,2
フラグ,自宅位置,270;長屋街
フラグ,弾幕特能,2
相性,69,120;マミゾウ
相性,95,150;八橋
相性,96,130;雷鼓
CSTR,仕事情報,コンサート　毎月第一日曜日　15時～21時
CSTR,職場,里の広場
CSTR,10,～古びた琵琶の付喪神～　●種族：付喪神　●能力：自ら音を発して演奏できる程度の能力
フラグ,産休タイプ,1；40日目から休む
