番号,61
名前,藤原 妹紅,
呼び名,妹紅,
基礎,体力,2000
基礎,気力,1600
基礎,勃起,1500
基礎,精力,10000
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,酒気,2000
素質,処女,1
素質,性別,1
素質,態度,1;反抗的
素質,プライド,1;プライド高い
素質,抵抗,1
素質,倒錯的,1
素質,性別嗜好,1;男嫌い
素質,Ａ感度,1;Ａ敏感
素質,酒耐性,2;酒豪
素質,音感,-1;音痴
素質,人間,1
素質,追加種族,4;蓬莱人
能力,Ｃ感覚,1
能力,欲望,1
能力,技巧,1
能力,マゾっ気,1
能力,レズっ気,2

能力,清掃技能,1
能力,話術技能,2
能力,戦闘能力,4
能力,教養,2
能力,料理技能,1
能力,音楽技能,0
素質,伐採Lv,2
素質,釣りLv,2
素質,採集Lv,3
素質,調合Lv,0

経験,Ｃ経験,5
経験,絶頂経験,5
経験,レズ経験,10
経験,異常経験,2
フラグ,基本服装セット,161;服装
フラグ,地位,500;地位
フラグ,初期位置,445;開始位置
フラグ,422,2;人里来訪率補正
フラグ,来訪時間,720;12時
フラグ,帰宅時間,1320;22時
フラグ,就寝時間,180;3時
フラグ,起床時間,660;11時
フラグ,よく行く地域,4
フラグ,自宅位置,430;斜角の竹林
フラグ,味覚嗜好,120
フラグ,移動節度,1
フラグ,弾幕特能,900
相性,62,80;輝夜
相性,67,140;慧音
相性,72,80;永琳
相性,106,120;菫子

CSTR,10,～蓬莱の人の形～　●種族：人間　●能力：老いる事も死ぬ事も無い程度の能力
CSTR,11, 
CSTR,12,蓬莱の薬を服用し、ずっと生き続けている人間
CSTR,13,迷いの竹林を迷わずに歩き回る事が出来る
CSTR,14, 
CSTR,15,竹林にわざわざ足を運び、話しかけてくる人間に興味を持つ
CSTR,16,どことなく危機感を感じてない様子で歩く姿に戸惑いを覚える
CSTR,17,多少の違和感を覚えつつ、親交を温めることになる
