番号,60
名前,水橋 パルスィ,
呼び名,パルスィ,
基礎,体力,1800
基礎,気力,1200
基礎,勃起,1500
基礎,精力,10000
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,酒気,1600
素質,処女,1
素質,性別,1
素質,態度,1;反抗的
素質,陽気／陰気,-1;陰気
素質,目立ちたがり,1
素質,貞操,1;貞操観念
素質,痛覚,1;痛みに弱い
素質,濡れやすさ,1;濡れやすい
素質,汚臭耐性,-1;汚臭敏感
素質,中毒しやすい,1
素質,サド,1
素質,嫉妬,1
素質,Ｃ感度,-1;Ｃ鈍感
素質,Ｍ感度,1;Ｍ敏感
素質,治療,1
素質,妖怪,1
能力,Ｃ感覚,2
能力,Ｖ感覚,1
能力,Ｂ感覚,1
能力,欲望,2
能力,技巧,1
能力,レズっ気,1

能力,清掃技能,1
能力,話術技能,1
能力,戦闘能力,3
能力,教養,1
能力,料理技能,1
能力,音楽技能,0
素質,伐採Lv,0
素質,釣りLv,1
素質,採集Lv,1
素質,調合Lv,0

;経験,Ｖ経験,70
経験,絶頂経験,10
経験,自慰経験,50
経験,異常経験,1
フラグ,基本服装セット,160;服装
フラグ,地位,500;地位
フラグ,初期位置,940;開始位置
フラグ,来訪時間,600;10時
フラグ,帰宅時間,1200;20時
フラグ,就寝時間,1380;23時
フラグ,起床時間,420;7時
フラグ,よく行く地域,9
フラグ,自宅位置,920;地獄の深道
フラグ,弾幕特能,768
フラグ,別顔有,1
相性,64,80;勇儀
相性,84,80;ヤマメ
CSTR,仕事情報,橋の見張り　13時～18時
CSTR,職場,地獄の深道
CSTR,10,～地殻の下の嫉妬心～　●種族：橋姫　●能力：嫉妬心を操る程度の能力
フラグ,産休タイプ,2；60日目から休む
