番号,56,
名前,豊聡耳神子,
呼び名,神子,
基礎,体力,2300
基礎,気力,1800
基礎,勃起,1500
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,深度,3000
基礎,酒気,1600
素質,処女,1
素質,性別,1
素質,度胸,1;気丈
素質,プライド,1;プライド高い
素質,自制心,1
素質,習得速度,1;習得早い
素質,調合知識,1
素質,汚臭耐性,-1;汚臭敏感
素質,献身的,1
素質,中毒しやすい,1
素質,体型,-1;小柄体型
素質,Ｃ感度,1;Ｃ敏感
素質,Ｖ感度,1;Ｖ敏感
素質,回復速度,-1;回復遅い
素質,禁断の知識,1
素質,人間,2;仙人
素質,神霊,1
素質,掃除係,1
能力,Ｃ感覚,2
能力,レズっ気,3

能力,清掃技能,1
能力,話術技能,5
能力,戦闘能力,4
能力,教養,5
能力,料理技能,1
能力,音楽技能,0
素質,伐採Lv,0
素質,釣りLv,0
素質,採集Lv,1
素質,調合Lv,1

;経験,Ｖ経験,1
経験,絶頂経験,5
経験,レズ経験,100
経験,異常経験,1
経験,戦闘経験,40
フラグ,基本服装セット,156;服装
フラグ,地位,1000;地位
フラグ,初期位置,128;開始位置
フラグ,出現位置,2
フラグ,来訪時間,600;10時
フラグ,帰宅時間,1200;20時
フラグ,就寝時間,1380;23時
フラグ,起床時間,420;7時
フラグ,よく行く地域,1
フラグ,自宅位置,160;聖徳道場
フラグ,移動節度,1
フラグ,弾幕特能,291
フラグ,大家候補,134
フラグ,住み込み必要信頼度,200
相性,1,120;霊夢
相性,55,50;白蓮
相性,90,150;青娥
相性,91,150;屠自古
相性,92,150;布都
CSTR,仕事情報,修行　月・水・金　13時～16時
CSTR,職場,聖徳道場
CSTR,10,～聖徳道士～　●種族：聖人　●能力：十人の話を同時に聞く事が出来る程度の能力
