番号,32,;5-2
名前,八坂 神奈子,
呼び名,神奈子,
基礎,体力,2000
基礎,気力,1800
基礎,勃起,1500
基礎,精力,10000
基礎,法力,3900
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,仕事量,0
基礎,深度,2000
基礎,酒気,3000
素質,性別,1;女
素質,度胸,1;気丈
素質,プライド,1;プライド高い
素質,陽気／陰気,1;陽気
素質,目立ちたがり,1
素質,貞操,-1;貞操無頓着
素質,自己愛,1;解放
素質,痛覚,-1;痛みに強い
素質,性別嗜好,-1;両刀
素質,謎の魅力,1
素質,Ｂ感度,1;Ｂ敏感
素質,バストサイズ,2;爆乳
素質,酒耐性,3;うわばみ
素質,具現,
素質,回復速度,1;回復早い
素質,神霊,1
能力,Ｖ感覚,1
能力,欲望,2
能力,技巧,1
能力,レズっ気,3

能力,清掃技能,1
能力,話術技能,1
能力,戦闘能力,4
能力,教養,3
能力,料理技能,1
能力,音楽技能,0
素質,伐採Lv,4
素質,釣りLv,1
素質,採集Lv,2
素質,調合Lv,2

経験,Ｖ経験,80
経験,絶頂経験,50
経験,精液経験,70
経験,レズ経験,100
フラグ,基本服装セット,132;服装
フラグ,地位,1000;地位
フラグ,初期位置,817
フラグ,大家候補,823
フラグ,住み込み必要信頼度,200
フラグ,出現位置,21
フラグ,来訪時間,600;10時
フラグ,帰宅時間,1200;20時
フラグ,就寝時間,120;2時
フラグ,起床時間,600;10時
フラグ,よく行く地域,8
フラグ,移動節度,1
フラグ,427,2;山麓来訪率補正
フラグ,457,732;山麓来訪位置

フラグ,自宅位置,850;守矢神社本殿
フラグ,弾幕特能,312
相性,1,150;霊夢
相性,31,200;早苗
相性,33,200;諏訪子
CSTR,仕事情報,身体測定　夏の月 5日　9～12時　女子会　第2日曜
CSTR,職場,寺子屋　人里居酒屋(18～21時)
CSTR,10,～山坂と湖の権化～　●種族：神霊　●能力：乾を創造する程度の能力
