番号,83,
名前,キスメ,
呼び名,キスメ,
基礎,体力,2000
基礎,気力,1200
基礎,勃起,1500
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,深度,3000
基礎,酒気,1500
素質,処女,1;処女
素質,性別,1;女
素質,度胸,-1;臆病
素質,応答,-1;大人しい
素質,性的興味,-1;保守的
素質,陽気／陰気,-1;陰気
素質,羞恥心,1;恥じらい
素質,濡れやすさ,-1;濡れにくい
素質,習得速度,-1;習得遅い
素質,汚臭耐性,1;汚臭鈍感
素質,倒錯的,1
素質,体型,-1;小柄体型
素質,バストサイズ,-1;貧乳
素質,妖怪,1
能力,従順,2

能力,清掃技能,0
能力,話術技能,0
能力,戦闘能力,2
能力,教養,0
能力,料理技能,0
能力,音楽技能,0
素質,伐採Lv,0
素質,釣りLv,2
素質,採集Lv,2
素質,調合Lv,0

フラグ,基本服装セット,183;服装
フラグ,地位,200;地位
フラグ,初期位置,942;開始位置
フラグ,来訪時間,1200;20時
フラグ,帰宅時間,300;5時
フラグ,就寝時間,360;6時
フラグ,起床時間,840;14時
フラグ,よく行く地域,9
フラグ,自宅位置,910;幻想風穴
フラグ,弾幕特能,512
相性,60,120;パルスィ
相性,64,120;勇儀
相性,84,150;ヤマメ
CSTR,10,～恐るべき井戸の怪～　●種族：釣瓶落とし　●能力：鬼火を落とす程度の能力
