番号,158,
名前,宮出口 瑞霊,
呼び名,瑞霊,
基礎,体力,2000
基礎,気力,1300
基礎,勃起,1500
基礎,精力,10000
基礎,法力,4000
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,仕事量,0
基礎,深度,1000
基礎,酒気,2000
素質,性別,1
素質,処女,1;Virgin
素質,度胸,1;Brave
素質,態度,1;Cheeky
素質,プライド,1;Prideful
素質,性的興味,-1;Conservative
素質,目立ちたがり,1;Show-off
素質,痛覚,-1;High Pain Tolerance
素質,濡れやすさ,-1;Hard to Get Wet
素質,習得速度,1;Fast Learner
素質,薬毒耐性,1;Drug Resistant
素質,汚臭耐性,1;Smell Resistant
素質,快感応答,1;Enjoys Pleasure
素質,サド,1;Sadist
素質,Ｃ感度,-1;C Insensitive
素質,Ｖ感度,-1;V Insensitive
素質,Ｍ感度,1;M Sensitive
素質,バストサイズ,-1;Small Breasts
素質,酒耐性,1;Strong Drinker
素質,幽霊,4;悪霊

能力,清掃技能,0
能力,話術技能,4 ;Good at manipulating and impersonating people
能力,戦闘能力,3
能力,教養,4
能力,料理技能,0
能力,音楽技能,0
素質,伐採Lv,0
素質,釣りLv,0
素質,採集Lv,1
素質,調合Lv,0

フラグ,基本服装セット,258;服装
フラグ,地位,1000;地位
フラグ,初期位置,99;開始位置;EX
フラグ,来訪時間,1080;6PM
フラグ,帰宅時間,120;2AM
フラグ,就寝時間,180;3AM
フラグ,起床時間,360;10AM
フラグ,よく行く地域,-1
フラグ,移動節度,-1
フラグ,弾幕特能,560 ;Same as Mima
フラグ,口調,3 ;Maybe 2 (informal as opposed to masculine) but she is the Jailbreak KING
相性,1,30;霊夢
相性,49,30;Satori
;probably hates a lot more people
相性,4,120;Admires Mima because why not
相性,97,150;Another fugitive who wants to disrupt Gensokyo
相性,64,120;Got along with Yuugi in the latest chapter
CSTR,10,～反獄王～　●種族：悪霊　●能力：人に憑依するの能力
