番号,3,
名前,カナ アナベラル,
呼び名,カナ,
基礎,体力,2100
基礎,気力,1100
基礎,勃起,1500
基礎,精力,10000
基礎,法力,1500
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,仕事量,0
基礎,深度,1000
基礎,酒気,1600
素質,処女,1
素質,性別,1
素質,態度,1;反抗的
素質,応答,1;生意気
素質,性的興味,1;好奇心
素質,目立ちたがり,1
素質,貞操,-1;貞操無頓着
素質,痛覚,1;痛みに弱い
素質,快感応答,1;快感に素直
素質,小悪魔,1
素質,Ｂ感度,-1;Ｂ鈍感
素質,幽霊,2;騒霊
能力,レズっ気,1
能力,戦闘能力,3
フラグ,基本服装セット,103;服装
フラグ,地位,400;地位
フラグ,初期位置,18;開始位置
フラグ,神社在住,18
フラグ,来訪時間,1080;18時
フラグ,帰宅時間,1440;24時
フラグ,就寝時間,600;10時
フラグ,起床時間,1020;17時
フラグ,自宅位置,40
フラグ,よく行く地域,0
フラグ,移動節度,-1
フラグ,弾幕特能,136
CSTR,10,～夢を失った少女騒霊～
