番号,64,
名前,星熊 勇儀,
呼び名,勇儀,
基礎,体力,2500
基礎,気力,2300
基礎,勃起,1500
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,深度,3000
基礎,酒気,3000
素質,性別,1;女
素質,度胸,1;気丈
素質,プライド,1;プライド高い
素質,性的興味,1;好奇心
素質,陽気／陰気,1;陽気
素質,貞操,-1;貞操無頓着
素質,自己愛,1;解放
素質,羞恥心,-1;恥薄い
素質,痛覚,-1;痛みに強い
素質,汚臭耐性,1;汚臭鈍感
素質,体型,1;長身
素質,Ｂ感度,1;Ｂ敏感
素質,バストサイズ,2;爆乳
素質,酒耐性,3;うわばみ
素質,回復速度,1;回復早い
素質,妖怪,2;鬼
能力,Ｃ感覚,1
能力,Ｖ感覚,1
能力,欲望,2
能力,技巧,1
能力,レズっ気,3
能力,膣,1

能力,清掃技能,0
能力,話術技能,1
能力,戦闘能力,5
能力,教養,1
能力,料理技能,1
能力,音楽技能,0
素質,伐採Lv,5
素質,釣りLv,2
素質,採集Lv,1
素質,調合Lv,2

経験,Ｖ経験,50
経験,絶頂経験,20
経験,精液経験,25
経験,Ｖ性交経験,20
経験,自慰経験,10
経験,レズ経験,30
経験,戦闘経験,30
フラグ,基本服装セット,164;服装
フラグ,地位,500;地位
フラグ,初期位置,936;開始位置
フラグ,来訪時間,900;15時
フラグ,帰宅時間,60;1時
フラグ,就寝時間,120;2時
フラグ,起床時間,600;10時
フラグ,よく行く地域,9
フラグ,自宅位置,930;旧地獄街道
フラグ,弾幕特能,284
相性,10,150;萃香
相性,60,120;パルスィ
相性,83,120;キスメ
相性,84,120;ヤマメ
相性,97,50;正邪
;CSTR,仕事情報,酒飲み　水曜日　16時～21時
;CSTR,職場,旧地獄街道
CSTR,10,～語られる怪力乱神～　●種族：鬼　●能力：怪力乱神を持つ程度の能力
