番号,11,;0-1
名前,霧雨 魔理沙,
呼び名,魔理沙,
基礎,体力,2000
基礎,気力,1400
基礎,勃起,1500
基礎,精力,10000
基礎,法力,4000
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,仕事量,0
基礎,深度,2000
基礎,酒気,1200
素質,処女,1
素質,性別,1
素質,応答,1;生意気
素質,性的興味,1;好奇心
素質,目立ちたがり,1
素質,習得速度,1;習得早い
素質,調合知識,1
素質,快感応答,1;快感に素直
素質,バストサイズ,-1;貧乳
素質,Ｍ感度,1;Ｍ敏感
素質,酒耐性,-1;酒に弱い
素質,治療,1
素質,人間,1
素質,追加種族,2;魔法使い
能力,欲望,1

能力,清掃技能,0
能力,話術技能,1
能力,戦闘能力,5
能力,教養,2
能力,料理技能,1
能力,音楽技能,0
素質,伐採Lv,1
素質,釣りLv,2
素質,採集Lv,3
素質,調合Lv,3

経験,自慰経験,5
経験,調合経験,50
フラグ,基本服装セット,111;服装
フラグ,地位,750;地位
フラグ,初期位置,512;開始位置;EX
フラグ,420,1;神社来訪率補正
フラグ,来訪時間,660;11時
フラグ,帰宅時間,1260;21時
フラグ,就寝時間,180;3時
フラグ,起床時間,600;10時
フラグ,素材販売,63
フラグ,よく行く地域,5
フラグ,自宅位置,540;霧雨魔法店
;フラグ,大家候補
フラグ,弾幕特能,142
相性,1,200,;霊夢
相性,4,150,;魅魔
相性,17,120,;アリス
相性,43,120,;華扇
相性,51,120,;にとり
相性,54,120,;パチュリー
相性,69,80,;マミゾウ

CSTR,仕事情報,発掘と訓練　月曜　13時～19時
CSTR,職場,物置と庭
CSTR,10,～普通の魔法使い～　●種族：人間　●能力：魔法を使う程度の能力
フラグ,産休タイプ,2；60日目から休む
