番号,51,;0-1
名前,河城 にとり,
呼び名,にとり,
基礎,体力,2000
基礎,気力,1200
基礎,勃起,1500
基礎,精力,10000
基礎,法力,4000
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,仕事量,0
基礎,深度,2000
基礎,酒気,1900
素質,処女,1
素質,性別,1
素質,度胸,-1;臆病
素質,性的興味,1;好奇心
素質,濡れやすさ,1;濡れやすい
素質,習得速度,1;習得早い
素質,自慰しやすい,1
素質,汚臭耐性,1;汚臭鈍感
素質,快感応答,1;快感に素直
素質,Ａ感度,1;Ａ敏感
素質,酒耐性,1;酒に強い
素質,水棲,1
素質,妖怪,4;河童
能力,親密,2
能力,従順,1
能力,欲望,1
能力,技巧,2
能力,奉仕精神,1

能力,清掃技能,0
能力,話術技能,1
能力,戦闘能力,2
能力,教養,2
能力,料理技能,0
能力,音楽技能,0
素質,伐採Lv,3
素質,釣りLv,5
素質,採集Lv,2
素質,調合Lv,1

経験,Ａ経験,2
経験,自慰経験,30
フラグ,基本服装セット,151;服装
フラグ,地位,300;地位
フラグ,初期位置,704;開始位置;EX
フラグ,来訪時間,600;10時
フラグ,帰宅時間,1140;19時
フラグ,就寝時間,1380;23時
フラグ,起床時間,420;7時
フラグ,よく行く地域,7
フラグ,自宅位置,720;玄武の沢
フラグ,422,1;人里来訪率補正
フラグ,420,1;神社来訪率補正
フラグ,弾幕特能,2
相性,1,120;霊夢
相性,11,120;魔理沙
相性,15,120;咲夜
相性,29,120;文
相性,31,120;早苗
相性,61,120;妹紅
相性,65,120;椛
相性,70,120;小鈴
相性,80,120;阿求
相性,81,120;蓮子
相性,82,120;メリー
相性,84,50;ヤマメ
相性,136,150;たかね
CSTR,10,～超妖怪弾頭～　●種族：河童　●能力：水を操る程度の能力
