番号,74,
名前,レティ・ホワイトロック,
呼び名,レティ,
基礎,体力,2100
基礎,気力,1400
基礎,勃起,1500
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,深度,3000
基礎,酒気,1700
素質,性別,1;女
素質,応答,-1;大人しい
素質,無関心,1
素質,陽気／陰気,1;陽気
素質,痛覚,-1;痛みに強い
素質,濡れやすさ,1;濡れやすい
素質,回復速度,1;回復早いけど冬以外は遅くしたい
素質,月光浴,1
素質,バストサイズ,1;巨乳
素質,氷精,2
素質,妖怪,1
能力,Ｖ感覚,1
能力,従順,1

能力,清掃技能,0
能力,話術技能,1
能力,戦闘能力,1
能力,教養,1
能力,料理技能,3
能力,音楽技能,0
素質,伐採Lv,0
素質,釣りLv,0
素質,採集Lv,1
素質,調合Lv,1

経験,Ｖ経験,30
フラグ,基本服装セット,174;服装
フラグ,地位,400;地位
フラグ,初期位置,344;開始位置
フラグ,来訪時間,540;9時
フラグ,帰宅時間,1020;17時
フラグ,就寝時間,1260；21時
フラグ,起床時間,360;6時
フラグ,よく行く地域,3
フラグ,自宅位置,320;氷のかまくら
フラグ,弾幕特能,2
相性,14,120;チルノ
相性,18,50;リリーホワイト
相性,19,50;リリーＢ
相性,61,50;妹紅
CSTR,10,～冬の忘れ物～　●種族：妖怪　●能力：寒気を操る程度の能力
