番号,22,;2-4
名前,ルナサ プリズムリバー,
呼び名,ルナサ,
基礎,体力,2000
基礎,気力,1400
基礎,勃起,1500
基礎,精力,10000
基礎,法力,2300
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,仕事量,0
基礎,深度,2000
基礎,酒気,1600
素質,処女,1
素質,性別,1
素質,応答,-1;大人しい
素質,自制心,1
素質,陽気／陰気,-1;陰気
素質,一線越えない,1
素質,貞操,1;貞操観念
素質,羞恥心,1;恥じらい
素質,濡れやすさ,1;濡れやすい
素質,汚臭耐性,-1;汚臭敏感
素質,中毒しやすい,1
素質,Ｂ感度,1;Ｂ敏感
素質,幽霊,2;騒霊
能力,従順,1
能力,技巧,2
能力,奉仕精神,1

能力,清掃技能,0
能力,話術技能,1
能力,戦闘能力,3
能力,教養,1
能力,料理技能,0
能力,音楽技能,5
素質,伐採Lv,0
素質,釣りLv,0
素質,採集Lv,0
素質,調合Lv,0

素質,音楽知識,1;楽器知識
素質,音感,2;絶対音感
フラグ,基本服装セット,122;服装
フラグ,地位,500;地位
フラグ,初期位置,340;開始位置;EX
フラグ,来訪時間,570;9.5時
フラグ,帰宅時間,1140;19時
フラグ,就寝時間,120;2時
フラグ,起床時間,540;9時
フラグ,よく行く地域,6
フラグ,自宅位置,330;廃洋館
フラグ,弾幕特能,768
相性,20,150;リリカ
相性,21,150;メルラン
;相性,200;レイラ
CSTR,仕事情報,コンサート　月に一度、日曜日　13時～19時
CSTR,職場,里の広場
CSTR,10,～騒霊ヴァイオリスト～　●種族：騒霊　●能力：手足を使わずに楽器を演奏する程度の能力
CSTR,11,　
CSTR,12,幻想郷で活動しているプリズムリバー楽団のリーダー的存在。
CSTR,13,楽団を構成するプリズムリバー三姉妹の長女であり、ヴァイオリンを主に演奏する
CSTR,14,彼女の所有するヴァイオリンはストラディヴァリウスも裸足で逃げ出すほどの名器の幽霊らしい
フラグ,産休タイプ,1；40日目から休む
