番号,100,
名前,レイセン,
呼び名,レイセン,
基礎,体力,2000
基礎,気力,1200
基礎,勃起,1500
基礎,ムード,1500
基礎,理性,1000
基礎,怒り,1000
基礎,深度,3000
基礎,酒気,1400
素質,処女,1
素質,性別,1
素質,度胸,-1;臆病
素質,態度,-1;素直
素質,応答,-1;大人しい
素質,Ｖ感度,1;Ｖ敏感
素質,酒耐性,-1;酒に弱い
素質,動物耳,2;兎耳
素質,妖怪,6;妖獣
能力,従順,1
能力,レズっ気,1

能力,清掃技能,1
能力,話術技能,1
能力,戦闘能力,2
能力,教養,1
能力,料理技能,1
能力,音楽技能,0
素質,伐採Lv,0
素質,釣りLv,0
素質,採集Lv,1
素質,調合Lv,0

経験,絶頂経験,1
経験,自慰経験,5
経験,レズ経験,5
フラグ,基本服装セット,200;服装
フラグ,地位,300;地位
フラグ,初期位置,1032;レイセン私室
フラグ,来訪時間,600:10時
フラグ,帰宅時間,1140:19時
フラグ,就寝時間,1440:24時
フラグ,起床時間,420:7時
フラグ,よく行く地域,10
フラグ,424,3;竹林来訪率補正
フラグ,素材販売,14
フラグ,自宅位置,1060
フラグ,移動節度,1
フラグ,弾幕特能,4
相性,52,110;鈴仙
相性,72,120;永琳
相性,98,180;依姫
相性,99,180;豊姫
CSTR,10,   ●種族：月の兎
