
;-------------------------------
;キャラクター番号
;-------------------------------
0 , あなた
1 , 霊夢
2 , る～こと
3 , カナ
4 , 魅魔
5 , サニー
6 , ルナ
7 , スター
8 , ちゆり
9 , 夢美
10 , 萃香
11 , 魔理沙
12 , ルーミア
13 , 大妖精
14 , チルノ
15 , 咲夜
16 , レミリア
17 , アリス
18 , リリーＷ
19 , リリーＢ
20 , リリカ
21 , メルラン
22 , ルナサ
23 , 妖夢
24 , 橙
25 , 藍
26 , 紫
27 , リグル
28 , ミスティア
29 , 文
30 , 映姫
31 , 早苗
32 , 神奈子
33 , 諏訪子
34 , 天子
35 , 衣玖
36 , お燐
37 , お空
38 , こいし
39 , ナズーリン
40 , 小傘
41 , ぬえ
42 , はたて
43 , 華扇
44 , エレン
45 , 理香子
46 , 明羅
47 , 里香
48 , ルイズ
49 , さとり
50 , フラン
51 , にとり
52 , 鈴仙
53 , てゐ
54 , パチュリー
55 , 白蓮
56 , 神子
57 , こころ
58 , 美鈴
59 , 小悪魔
60 , パルスィ
61 , 妹紅
62 , 輝夜
63 , 影狼
64 , 勇儀
65 , 椛
66 , 幽々子
67 , 慧音
68 , 幽香
69 , マミゾウ
70 , 小鈴
71 , 針妙丸
72 , 永琳
73 , 蛮奇
74 , レティ
75 , メディスン
76 , 小町
77 , 静葉
78 , 穣子
79 , 雛
80 , 阿求
81 , 蓮子
82 , メリー
83 , キスメ
84 , ヤマメ
85 , 一輪
86 , ムラサ
87 , 星
88 , 響子
89 , 芳香
90 , 青娥
91 , 屠自古
92 , 布都
93 , わかさぎ姫
94 , 弁々
95 , 八橋
96 , 雷鼓
97 , 正邪
98 , 依姫
99 , 豊姫
100 , レイセン
101 , 朱鷺子
102 , 神綺
103 , 夢子
104 , ユキ
105 , マイ
106 , 菫子
107 , 清蘭
108 , 鈴瑚
109 , ドレミー
110 , サグメ
111 , クラウンピース
112 , 純狐
113 , ヘカーティア
114 , くるみ
115 , エリー
116 , 夢月
117 , 幻月
118 , ラルバ
119 , ネムノ
120 , あうん
121 , 成美
122 , 舞
123 , 里乃
124 , 隠岐奈
125 , 女苑
126 , 紫苑
127 , 瓔花
128 , 潤美
129 , 久侘歌
130 , 八千慧
131 , 磨弓
132 , 袿姫
133 , 早鬼
134 , 美宵
135 , ミケ
136 , たかね
137 , 駒草
138 , 魅須丸
139 , 典
140 , 龍
141 , 千亦
142 , 百々世
143 , モブ子

;-------------------------------
;素材アイテム
;-------------------------------
600 , 普通のキノコ
601 , 毒キノコ
602 , ねばねばキノコ
603 , 冬虫夏草
604 , やばいキノコ
605 , 魔法のキノコ
606 , 龍の爪
607 , 薬草
608 , 上薬草
609 , 氷の鱗
610 , 木材
611 , 山菜
612 , 毒草
613 , 特薬草
614 , 彼岸花
615 , 雪の霊草
616 , 山芋
617 , ウコン
618 , 高麗人参
619 , 苦い根っこ
620 , マンドラゴラ
621 , 白い樹脂
622 , 黄色い樹脂
623 , 芳しい樹脂
624 , 悪華の乳液
625 , 竜血
626 , キイチゴ
627 , はちみつ
628 , アケビ
629 , たけのこ
630 , 仙桃
631 , 骨くず
632 , 石膏
633 , 滑石
634 , 竜骨
635 , 辰砂
