;(20/12/04) 未使用モブ娘リソース読み込みをコメントアウト
;(21/09/14) イナバ販売員リソース追加,プリセットモブ娘リソース読み込み行削除

;デイリーイベント・イナバ販売訪問員
立ち絵_服_通常_MOB_イナバ_1,MOBイナバセット.webp,0,0,180,180
立ち絵_服_笑顔_MOB_イナバ_1,MOBイナバセット.webp,180,0,180,180
立ち絵_服_怒り_MOB_イナバ_1,MOBイナバセット.webp,360,0,180,180
立ち絵_服_赤面_MOB_イナバ_1,MOBイナバセット.webp,540,0,180,180
立ち絵_服_LOVE_MOB_イナバ_1,MOBイナバセット.webp,720,0,180,180
立ち絵_裸_通常_MOB_イナバ_1,MOBイナバセット.webp,900,0,180,180
立ち絵_裸_笑顔_MOB_イナバ_1,MOBイナバセット.webp,1080,0,180,180
立ち絵_裸_怒り_MOB_イナバ_1,MOBイナバセット.webp,1260,0,180,180
立ち絵_裸_赤面_MOB_イナバ_1,MOBイナバセット.webp,1440,0,180,180
立ち絵_裸_LOVE_MOB_イナバ_1,MOBイナバセット.webp,1620,0,180,180

立ち絵_服_通常_MOB_イナバ_2,MOBイナバセット.webp,0,180,0180,180
立ち絵_服_笑顔_MOB_イナバ_2,MOBイナバセット.webp,180,180,0180,180
立ち絵_服_怒り_MOB_イナバ_2,MOBイナバセット.webp,360,180,0180,180
立ち絵_服_赤面_MOB_イナバ_2,MOBイナバセット.webp,540,180,0180,180
立ち絵_服_LOVE_MOB_イナバ_2,MOBイナバセット.webp,720,180,0180,180
立ち絵_裸_通常_MOB_イナバ_2,MOBイナバセット.webp,900,180,0180,180
立ち絵_裸_笑顔_MOB_イナバ_2,MOBイナバセット.webp,1080,180,0180,180
立ち絵_裸_怒り_MOB_イナバ_2,MOBイナバセット.webp,1260,180,0180,180
立ち絵_裸_赤面_MOB_イナバ_2,MOBイナバセット.webp,1440,180,0180,180
立ち絵_裸_LOVE_MOB_イナバ_2,MOBイナバセット.webp,1620,180,0180,180

;モブ店員(男)
顔絵_服_通常_MOB_20,MOB_男.webp,0,0,180,180
顔絵_服_笑顔_MOB_20,MOB_男.webp,180,0,180,180
顔絵_服_怒り_MOB_20,MOB_男.webp,360,0,180,180

;モブ販売員素材_顔
01_販売員_結ぶ_顔,モブ販売員素材.webp,613,756,103,94,43,24
01_販売員_ショート_顔,モブ販売員素材.webp,290,796,109,103,43,24
01_販売員_切り揃え_顔,モブ販売員素材.webp,400,796,108,106,40,23
01_販売員_ほわほわ_顔,モブ販売員素材.webp,346,0,146,151,23,24
01_販売員_長い_顔,モブ販売員素材.webp,179,72,166,156,0,24

02_販売員_ポニテ_顔,モブ販売員素材.webp,501,333,119,165,0,15
02_販売員_おさげ_顔,モブ販売員素材.webp,181,0,107,54,45,102
02_販売員_一つ結び_顔,モブ販売員素材.webp,852,509,53,70,95,110
02_販売員_三つ編み_顔,モブ販売員素材.webp,0,0,180,71,0,109
02_販売員_ツインテ_顔,モブ販売員素材.webp,178,615,173,156,7,24

03_販売員_素体_顔,モブ販売員素材.webp,0,434,177,180,1,0
03_販売員_普乳素体_顔,モブ販売員素材.webp,0,253,178,180,0,0
03_販売員_巨乳素体_顔,モブ販売員素材.webp,0,72,178,180,0,0
03_販売員_服素体_顔,モブ販売員素材.webp,178,434,177,180,1,0
03_販売員_もみあげ服素体_顔,モブ販売員素材.webp,0,615,177,180,1,0

04_販売員_短_顔,モブ販売員素材.webp,501,499,97,59,46,60
04_販売員_中_顔,モブ販売員素材.webp,630,169,90,83,52,49
04_販売員_もみあげ_顔,モブ販売員素材.webp,178,772,111,121,36,59

05_販売員_短い_顔,モブ販売員素材.webp,613,851,82,51,54,32
05_販売員_ぱっつん_顔,モブ販売員素材.webp,696,851,74,54,58,35
05_販売員_粗め_顔,モブ販売員素材.webp,717,634,76,65,57,32
05_販売員_真ん中寄せ_顔,モブ販売員素材.webp,638,634,78,64,55,33
05_販売員_真ん中分け_顔,モブ販売員素材.webp,638,575,79,58,54,33
05_販売員_斜め_顔,モブ販売員素材.webp,346,152,98,69,52,34

06_販売員_丸通常_顔,モブ販売員素材.webp,795,239,60,44,65,69
06_販売員_丸笑い_顔,モブ販売員素材.webp,795,284,59,50,65,69
06_販売員_丸怒り_顔,モブ販売員素材.webp,621,409,94,73,65,42
06_販売員_釣通常_顔,モブ販売員素材.webp,794,411,61,49,64,68
06_販売員_釣笑い_顔,モブ販売員素材.webp,794,359,61,51,64,69
06_販売員_釣怒り_顔,モブ販売員素材.webp,621,333,94,75,65,42
06_販売員_垂通常_顔,モブ販売員素材.webp,771,845,65,47,61,68
06_販売員_垂笑い_顔,モブ販売員素材.webp,791,700,61,45,63,73
06_販売員_垂怒り_顔,モブ販売員素材.webp,599,499,95,75,64,42

07_販売員_素体バスタオル_顔,モブ販売員素材.webp,0,881,79,25,55,155
07_販売員_素体もみあげバスタオル_顔,モブ販売員素材.webp,80,881,79,25,55,155
07_販売員_普乳素体バスタオル_顔,モブ販売員素材.webp,630,280,79,26,55,154
07_販売員_普乳素体もみあげバスタオル_顔,モブ販売員素材.webp,630,253,79,26,55,154
07_販売員_巨乳素体バスタオル_顔,モブ販売員素材.webp,501,559,79,27,55,153
07_販売員_巨乳素体もみあげバスタオル_顔,モブ販売員素材.webp,509,863,79,27,55,153

08_販売員_装飾_照れ_顔,モブ販売員素材.webp,718,557,69,43,61,82

